Transcription-Units	Accession-1
TU00249	b1217 // b1218
TU0-14341	b3147
TU0-4523	b3438
TU00331	b2037 // b2038 // b2039 // b2040 // b2041
TU0-4343	b0099 // b0098 // b0097
TU0-13646	b2496
TU0-42535	b1444 // b1443 // b1442 // b1441 // b1440
TU0-13016	b0658 // b0657
TU0-14636	b2000
TU0-14321	b2554
TU00009	b0754
TU0-8121	b0008
TU723	b2733
TU0-14537	b4384 // b4383 // b4382
TU0-14802	b0245 // b0246 // b4504 // b0247 // b0248 // b0249 // b0250
TU0-14669	b3929 // b3930
TU0-13211	b1302 // b1301 // b1300
TU0-2661	b1469
TU0-8265	b0685
TU0-45236	b3916
TU0-13050	b0796 // b0795 // b0794 // b0793 // b0792
TU0-13436	b1846
TU0-45208	b3500
TU0-13991	b3596
TU0-12821	b0155
TU00515	b2691 // b2692 // b2693 // b2694 // b2695
TU00270	b4511 // b0585 // b0586 // b0587
TU0-13832	b3022 // b3021
TU0-13836	b3029
TU0-13810	b2966
TU869	b0409 // b0408 // b0407
TU0-198703	b0896 // b0895 // b0894
TU874	b3384 // b3385 // b3386 // b3387 // b3388
TU0-8727	b2186
TU0-13735	b2785
TU0-14652	b2741
TU0-4441	b2711 // b2710
TU0-13494	b2027
TU0-12800	b0047 // b0046
TU0-12969	b0539
TU0-45230	b1283
TU0-8702	b1433
TU0-13429	b1836
TU0-13816	b2983
TU0-8778	b0624
TU0-8511	b1642
TU00143	b0338
TU0-13694	b2633 // b2632
TU0-4403	b1250
TU0-36423	b2911
TU0-4701	b0342 // b0343 // b0344
TU0-13839	b3041
TU0-4187	b1805
TU0-13052	b0802
TU0-13914	b3337 // b3336
TU0-14531	b2276 // b2277
TU0-7341	b2914
TU0-13555	b2183
TU0-13246	b1404
TU0-44202	b4517
TU0-13867	b3104
TU0-13427	b1834 // b1833
TU0-4927	b3415
TU0-7321	b2392
TU0-13662	b2545 // b2544
TU00075	b2957
TU0-8811	b2753
TU5	b1398 // b1397 // b1396 // b1395 // b1394 // b1393 // b1392 // b1391 // b1390 // b1389 // b1388
TU0-14224	b4388
TU0-14088	b3937
TU-8427	b1465 // b1466
TU0-8492	b4226
TU0-4205	b3096 // b3095
TU0-2302	b0197 // b0198 // b0199
TU0-8630	b4567
TU0-12891	b0317
TU0-13534	b2140
TU00305	b2194 // b2195 // b2196 // b2197 // b2198 // b2199 // b2200 // b2201 // b2202 // b2203 // b2204 // b2205 // b2206 // b2207 // b2208
TU0-8362	b0142 // b0143
TU0-13241	b1379
TU0-36431	b3201 // b3200 // b3199 // b3198
TU0-13269	b1445
TU305	b1215 // b1214 // b1213
TU0-7743	b1499
TU0-44222	b4726
TU0-5982	b3449 // b3450 // b3451 // b3452 // b3453
TU0-13993	b3602
TU0-8736	b2408
TU0-4906	b1779
TU0-13402	b1786
TU00335	b3985 // b3986 // b3987 // b3988
TU502	b1661
TU-8412	b4763 // b0652 // b0653 // b0654 // b0655
TU-8411	b1943 // b1942 // b1941 // b1940 // b1939 // b1938
TU00274	b1924 // b1925 // b1926
TU0-13907	b3267
TU0-13572	b2267
TU0-8633	b0838
TU00088	b1907
TU782	b4002
TU0-14018	b4479 // b3693 // b4477 // b4478 // b3691
TU0-13906	b3263
TU0-1963	b2980
TU0-14693	b3726 // b3727 // b3728
TU0-13461	b1957
TU0-3901	b1480
TU0-13824	b3012
TU0-12815	b0128 // b0127
TU0-14561	b4175 // b4174 // b4173 // b4172 // b4171 // b4170
TU0-8569	b0815
TU0-8242	b1863
TU0-13134	b1086
TU0-13519	b2114
TU141	b0034
TU0-14213	b4364
TU0-8672	b0848
TU0-8510	b3470
TU0-5061	b4013
TU0-14512	b2691
TU0-13750	b2834
TU00491	b0536
TU0-14762	b1167 // b1166 // b1165 // b1164
TU0-14816	b2925 // b2926
TU0-13531	b2137
TU0-13528	b4542
TU00402	b0473
TU0-8485	b4458
TU00301	b0763 // b0764 // b0765
TU0-41793	b1492
TU0-14288	b3161
TU0-8241	b1863 // b1864
TU0-8805	b1654
TU0-13405	b1792
