Transcription-Units	Accession-1
TU0-13174	b1191
TU0-8856	b1715
TU0-14156	b4189
TU00070	b0779
TU00105	b1611
TU0-198713	b3868 // b3869
TU0-8612	b4190
TU561	b0952 // b0951 // b0950
TU00332	b2566 // b2567
TU0-12940	b0457
TU0-8832	b3218
TU0-8471	b1021 // b1022 // b1023 // b1024
TU0-13948	b3482
TU0-13729	b2770 // b2769
TU0-5082	b1618
TU0-9	b2115
TU00038	b4807 // b4032 // b4033 // b4034
TU0-14340	b0175
TU0-13627	b2441 // b2440 // b2439 // b2438 // b2437
TU0-12892	b0321 // b0320 // b0319 // b0318
TU0-44224	b3781
TU0-13690	b2625
TU00082	b0522 // b0523
TU0-13732	b2774
TU0-8869	b4361 // b4362 // b4363
TU00072	b2212 // b2213
TU0-12896	b0326
TU0-13399	b1781
TU0-8609	b4061
TU0-3421	b2378
TU0-4181	b3622 // b3621 // b3620 // b3619
TU0-42576	b4717
TU0-8475	b4596 // b1284
TU0-8343	b2920 // b2919 // b2918 // b2917
TU0-8809	b0962
TU0-8836	b2982
TU0-14342	b3148
TU0-7441	b1236
TU0-13371	b1689
TU0-13021	b4808 // b0682 // b0681
TU104	b1015
TU0-4924	b4264
TU00527	b1676
TU0-1741	b1277
TU0-1182	b3971 // b3970 // b3969 // b3968
TU00132	b1621 // b1622
TU0-7163	b3633
TU0-42478	b0071 // b0072 // b0073 // b0074 // b0075
TU0-45165	b3855 // b3854 // b3853 // b3852 // b3851
TU0-8495	b0393
TU0-36430	b3201 // b3200 // b3199 // b3198 // b3197 // b3196
TU0-12867	b0269 // b0268
TU0-13974	b3539
TU0-14344	b0147
TU0-13219	b1331
TU0-45166	b1167 // b1166 // b1165 // b1164
TU0-13198	b4523 // b4522
TU0-8828	b0394
TU0-13420	b1821
TU0-12795	b4413
TU0-13969	b3524
TU0-13944	b3471
TU0-13952	b3487 // b3486 // b3485
TU0-8375	b0691
TU0-921	b1055
TU0-13398	b1780
TU523	b2781 // b2782 // b2783
TU0-8347	b4124 // b4125
TU0-13076	b0874
TU682	b3704 // b3703
TU0-13743	b2813
TU0-2701	b4435 // b2000
TU00457	b3454 // b3455 // b3456 // b3457 // b3458
TU0-8687	b1177
TU0-13324	b1562
TU0-14761	b0606 // b0605
TU00470	b3428 // b3429 // b3430
TU0-45271	b0093 // b0094 // b0095
TU0-13392	b1769
TU0-13910	b4550
TU00240	b0861 // b0862 // b0863 // b0864
TU0-8843	b4419
TU00149	b2364
TU0-8044	b4498
TU0-14663	b3747
TU0-14023	b3711
TU0-14126	b4077
TU0-14403	b3806
TU00236	b4168 // b4167 // b4169 // b4170 // b4171 // b4172 // b4173 // b4174 // b4175
TU0-12864	b0261 // b0260
TU0-8792	b3264
TU0-45192	b2340
TU0-8641	b1758
TU0-6622	b0441
TU0-45164	b4439
TU0-13903	b4472
TU0-8724	b2070
TU0-13660	b2536
TU0-14047	b3822
TU0-13218	b1329
TU00047	b2236 // b2234 // b2235
TU0-8619	b4256
TU482	b3123 // b3124 // b3125 // b3126 // b3127
TU0-13715	b2690 // b2689
TU0-8873	b0506
TU00336	b3230 // b3231
TU0-8456	b1633 // b1632 // b1631 // b1630 // b1629 // b1628 // b1627 // b1626
TU0-14611	b0289 // b0290 // b0291 // b0292
TU-8430	b1653
TU0-8846	b4453
TU0-8841	b1827
TU0-7981	b1198 // b1199 // b1200
TU00193	b3599 // b3600 // b3601
TU0-14443	b0096 // b0095 // b0094 // b0093 // b0092 // b0091 // b0090 // b0089 // b0088 // b0087 // b0086 // b0085 // b0084 // b0083
TU0-12947	b0469
TU00446	b0882
TU00080	b2344
TU0-14222	b4385
TU362	b0708 // b0707
TU0-14356	b3639
TU0-4404	b4742 // b1296
TU0-13625	b2430 // b2429 // b2428
TU0-8813	b1256
TU0-13664	b2549
TU0-8818	b1463
TU0-13902	b3244
TU0-14549	b1229 // b1230
TU-8392	b2891 // b2892 // b2893
TU0-6882	b0078 // b0077
TU0-42508	b0075
TU0-14390	b3251
TU0-13439	b1853
TU0-13782	b2881 // b2880
TU0-8697	b1341
TU0-7745	b2374
TU0-13337	b1592
TU00379	b0903 // b0904
TU0-8718	b1959
TU0-12933	b0444
TU0-13395	b1777
TU00155	b4111
TU0-8815	b3397
TU0-14783	b3480 // b3481 // b3479 // b3478 // b3477 // b3476
TU0-13507	b2089 // b2088
TU0-14644	b2464
TU00103	b4764 // b0726 // b0727 // b0728 // b0729
TU0-3561	b1984
TU0-8647	b4536
TU0-13546	b2166 // b2165
TU00021	b3260 // b3261
TU0-13728	b2768 // b2767 // b2766
TU0-12843	b0215
TU0-13937	b3440
TU0-14219	b4378 // b4377
TU0-4143	b1049 // b1048
TU0-42605	b0433 // b0434
TU0-13232	b4528
TU0-14065	b3877 // b3876
TU0-14814	b2926
TU0-14228	b3974
TU0-8202	b2922
TU0-12985	b0577
TU0-13245	b1403 // b1402
TU0-13108	b0987
TU0-14186	b4561 // b4284
TU0-13775	b2872
TU00130	b3666
TU00452	b2945
TU0-13591	b2315 // b2314
TU0-8740	b2575
TU0-13994	b3606
TU0-42573	b1280 // b1279
TU0-8734	b2377
TU0-3163	b0734 // b0733
TU00258	b3287 // b3288
TU0-13151	b1155 // b1154 // b1153 // b1152 // b1151 // b1150 // b1149 // b1148 // b1147 // b1146
TU0-14530	b4010 // b4009
TU0-13878	b3159 // b3158
TU0-13855	b3084
TU0-7401	b1002
TU0-1545	b4826 // b1083 // b1082
TU0-13207	b1295
TU424	b2712 // b2713
TU00475	b2311 // b2312 // b2313
TU0-6631	b1907
TU00284	b1507 // b1508
TU0-1342	b1987
TU0-13185	b1242
TU0-13545	b2164
TU0-45248	b2212 // b2213
TU0-8712	b1789
TU0-13635	b2456 // b2455 // b2454 // b2453
TU0-14069	b3884 // b3883
TU0-13814	b2972
TU0-45176	b0757 // b0758 // b0759
TU0-7	b4355
TU0-13056	b0806
TU0-42690	b3880 // b3881 // b3882
TU0-13007	b0631
TU0-8768	b0376
TU0-12886	b0305
TU0-14439	b0096 // b0095 // b0094 // b0093 // b0092 // b0091 // b0090 // b0089 // b0088 // b0087 // b0086 // b0085 // b0084 // b0083 // b0082
TU-8407	b1084
TU0-14317	b2032 // b2033 // b2034
TU0-45142	b0315
TU0-8745	b2670
TU0-42699	b3125
TU0-13682	b4461
TU0-13377	b1707
TU0-42640	b4725 // b2570 // b2571 // b2572 // b2573
TU565	b0912 // b0911
TU0-8474	b3165
TU0-1544	b1070 // b1071
TU0-12835	b0192 // b0191 // b0190
TU27	b1850
TU0-14091	b3947 // b3946 // b3945
TU582	b1286
TU0-4161	b2477
TU-8439	b2901
TU0-12878	b0292 // b0291 // b0290 // b0289
TU343	b3171
TU0-4462	b2787 // b2788 // b2789
TU0-8629	b4394
TU0-2041	b0125
TU0-8665	b4395
TU0-14615	b0462
TU0-8490	b1127
TU0-8708	b1624
TU0-14148	b4158 // b4157
TU0-14503	b4016
TU00523	b0116
TU0-42700	b2239
TU0-13314	b1543
TU0-8021	b2470
TU00065	b4059
TU503	b1661
TU0-13446	b1894 // b1893
TU0-3202	b2895
TU0-6886	b3957
TU0-6515	b2580
TU0-42666	b1045
TU0-14196	b4309
TU0-2121	b0853 // b0852
TU0-13101	b0964
TU00299	b1174 // b1175 // b1176
TU102	b1415
TU0-12965	b0529 // b0528
TU0-8548	b0328
TU00394	b2669
TU0-6444	b4025
TU0-13254	b1419
TU0-8526	b2521
TU0-12926	b0433
TU0-13499	b2057 // b2056 // b2055 // b2054 // b2053 // b2052 // b2051 // b2050 // b2049 // b2048 // b2047 // b2046
TU0-14241	b4598
TU0-8651	b2550
TU0-8554	b0380
TU0-13266	b1438 // b4532
TU0-13920	b3355
TU00151	b4287 // b4288 // b4289 // b4290 // b4291
TU0-42551	b1385
TU0-1521	b4827 // b1923
TU0-14164	b4218
TU0-14017	b3685
TU0-14785	b1891 // b1892
TU0-8366	b3534
TU0-44223	b4701
TU0-13365	b1675
TU442	b1094 // b1093 // b1092
TU0-13117	b1027 // b1026
TU00220	b4393
TU0-5003	b4143 // b4142
TU0-6003	b3688
TU0-13012	b0649 // b0648
TU0-13711	b2672
TU0-13837	b3034 // b3033 // b3032 // b3031 // b3030
TU0-12917	b0398 // b0397
TU00057	b2557
TU0-6508	b0345
TU0-14013	b3673
TU0-13184	b4573
TU00117	b0775 // b0776 // b0777 // b0778
TU0-13142	b1120 // b1119
TU0-41739	b1326
TU0-13373	b1693 // b1692 // b1691
TU0-4221	b2595
TU0-14744	b3624 // b3625
TU0-14066	b3878
TU0-45191	b4187
TU0-12887	b0308 // b0307 // b0306
TU0-14470	b0630 // b0631
TU0-14396	b3357
TU0-13344	b1604
TU0-4623	b3469
TU00390	b1043 // b1041 // b1042
TU0-14305	b2236
TU0-45186	b0952 // b0951 // b0950
TU0-13293	b1502
TU00337	b3299 // b3300 // b3301 // b3302 // b3303 // b3304 // b3305 // b3306 // b3307 // b3308 // b3309 // b3310
TU0-45272	b0630 // b0631
TU0-1582	b3556
TU0-13597	b2343
TU0-8834	b1370
TU0-14226	b4392
TU0-8478	b1489 // b1490
TU0-8821	b4351
TU0-13698	b2642
TU0-8301	b2297 // b2296
TU0-8767	b2817
TU0-13240	b1377
TU0-8001	b0809
TU0-14806	b0154
TU0-8535	b1895
TU0-5601	b3636 // b3637 // b3638
TU0-198712	b0153 // b0152 // b0151 // b0150
TU0-13216	b1327
TU0-14037	b3780
TU0-2042	b0124
TU0-8671	b0846
TU0-194010	b0601 // b0602 // b0603
TU0-14001	b3644
TU0-13866	b3103
TU0-13059	b0818 // b0817
TU0-13389	b1757
TU587	b0451 // b0450
TU0-3301	b3700
TU0-45254	b0115 // b0114
TU0-12918	b0402 // b0401
TU0-13767	b2861 // b2860 // b2859 // b2858
TU0-13987	b3589
TU0-14070	b3888 // b3887 // b3886 // b3885
TU0-13985	b3573
TU0-14028	b3720 // b3719 // b3718
TU0-13960	b3504
TU0-12944	b0465
TU0-13681	b2611
TU0-3982	b2535
TU0-13049	b0790 // b0789 // b0788
TU0-8723	b2063
TU0-13456	b1931
TU0-13210	b1302 // b1301 // b1300 // b1299 // b1298
TU00025	b0756 // b0757 // b0758 // b0759
TU0-13212	b1319 // b4524 // b1318 // b1317 // b1316 // b1315 // b1314 // b1313 // b1312 // b1311 // b1310 // b1309
TU0-13280	b1461
TU0-13552	b2180 // b2179 // b2178 // b2177
TU0-14766	b4722 // b4721 // b4720 // b4326
TU00013	b0774
TU0-8728	b2238
TU0-13663	b2548 // b2547 // b2546
TU0-13611	
TU0-13271	b1448 // b1447
TU0-14385	b3557
TU0-13321	b1556 // b1555 // b1554 // b1553
TU0-13438	b1848
TU0-13623	b2426
TU-8381	b1743
TU0-13771	b2865
TU0-8795	b1385
TU0-1742	b1277
TU00206	b3753 // b3748 // b3749 // b3750 // b3751 // b3752
TU0-13846	b3052
TU0-12790	b0009
TU0-14221	b4380
TU00351	b2606 // b2607 // b2608 // b2609
TU0-45265	b4592 // b0978 // b0979 // b0980
TU0-8760	b1339
TU0-4001	b2663 // b2662 // b2661 // b2660 // b2659
TU0-3622	b3271 // b3270 // b3269 // b3268
TU0-13127	b1059 // b1058
TU0-13374	b1695 // b1694
TU0-1805	b1303
TU0-12869	b0272
TU0-12879	b0293
TU0-1424	b0095
TU0-13583	b2295
TU0-14137	b4127 // b4126
TU0-6564	b4059
TU182	b4838 // b4317 // b4320 // b4319 // b4318 // b4316 // b4315 // b4314
TU0-13779	b2876
TU0-13708	b2665
TU0-14010	b3662
TU0-6582	b3131
TU0-14494	b0144 // b0145
TU00134	b3831
TU0-2405	b0345 // b0346
TU0-13563	b2230 // b2229 // b4500 // b2226 // b2225
TU0-13509	b2100 // b2099 // b2098
TU0-12792	b0011
TU0-7842	b0023
TU0-12874	b0281
TU0-12840	b0210 // b0209
TU0-14520	b2311
TU0-1143	b2579
TU0-13569	b2258 // b4544 // b2257 // b2256 // b2255 // b2254 // b2253
TU0-13672	b2585
TU0-8714	b1794
TU00154	b2726 // b2727 // b2728 // b2729 // b2730
TU00129	b2964
TU0-13417	b1813 // b1812
TU0-12945	b0467 // b0466
TU0-13925	b3383 // b3382
TU0-12916	b0392
TU0-42457	b2696
TU0-6512	b3988 // b3987 // b3986 // b3985 // b3984 // b3983
TU0-13384	b1729
TU0-13668	b2561
TU0-13358	b1648
TU0-13566	b2248 // b2247
TU0-14475	b4399 // b4398 // b4397
TU0-14606	b0096
TU00485	b4246 // b4244 // b4245
TU0-14	b3500
TU00046	b3365 // b3366 // b3367 // b3368
TU0-12995	b0604
TU487	b0440
TU0-14719	b3515
TU0-1183	b3759 // b3758 // b3757 // b3756
TU00192	b2551
TU0-8840	b0220
TU0-41760	b1377 // b1378
TU877	b3384 // b3385 // b3386
TU0-8648	b1953
TU0-41801	b1536
TU0-45287	b4806
TU00366	b1718 // b1719
TU0-13633	b2450
TU0-45219	b4722 // b4326
TU0-14767	b4434 // b4663
TU0-14030	b3742
TU0-14155	b4188
TU0-8353	b1380
TU0-13820	b2998
TU0-6507	b1732
TU00112	b3744
TU0-14516	b0853
TU0-14795	b4699
TU0-14238	b4502
TU0-4183	b3622 // b3621 // b3620 // b3619
TU00030	b2241 // b2242 // b2243
TU0-14136	b4121
TU0-12826	b0164
TU0-8738	b2503
TU-8388	b2822
TU0-42668	b1045 // b1044
TU00352	b3065 // b3066 // b3067
TU0-14417	b0543
TU0-36411	b1257
TU0-8373	b0184 // b0183 // b0182 // b0181 // b0180 // b0179 // b0178 // b0177
TU0-8591	b3584
TU0-1002	b1744 // b1745 // b1746 // b1747 // b1748
TU0-8732	b2273
TU0-13294	b1505 // b1504 // b1503
TU0-13115	b4490
TU0-13025	b0699
TU0-13854	b3083 // b3082
TU00490	b0244
TU0-4502	b4085 // b4086 // b4087 // b4088 // b4089
TU0-1549	b3525
TU0-4802	b3721 // b3722 // b3723
TU0-1541	b4355
TU0-6483	b2480
TU0-45244	b1676
TU0-13685	b2619 // b2618
TU0-1547	b1881 // b1882 // b1883 // b1884 // b1885 // b1886
TU0-13369	b1688
TU0-45266	b3961
TU0-14492	b2065
TU0-13551	b2176
TU0-13204	b1288
TU0-8835	b2192
TU0-8691	b1220
TU0-14672	b4143
TU0-8685	b1112
TU0-13618	b2395
TU-8405	b1878 // b1879 // b1880
TU0-14108	b4023
TU0-13781	b2879 // b2878
TU0-13452	b1916
TU00372	b1521
TU0-6504	b0680
TU369	b1492 // b1493
TU0-13917	b3349
TU0-13302	b1522
TU0-14820	b2779
TU0-13889	b3195 // b3194 // b3193 // b3192 // b3191
TU0-13634	b2452 // b2451
TU0-13986	b3587 // b3586
TU0-8622	b4281
TU423	b0842
TU0-8653	b2940
TU0-13796	b2915
TU00142	b0339 // b0340 // b0341
TU0-13335	b1584 // b1583
TU00361	b3228 // b3229
TU0-13554	b2182
TU0-6686	b1913 // b1914
TU0-13740	b2798
TU0-13410	b1800
TU0-8707	b1607
TU0-8529	b0423
TU0-45206	b3699
TU0-8496	b4420
TU0-14515	b1920
TU0-1196	b3700 // b3701
TU0-12979	b0558
TU0-13800	b2924
TU686	b2492 // b2491 // b2490 // b2489 // b2488 // b2487 // b2486 // b2485 // b2484 // b2483 // b2482 // b2481
TU0-45281	b3911 // b3912
TU0-8484	b2202 // b2203 // b2204 // b2205 // b2206 // b2207 // b2208
TU0-3621	b1784 // b1783
TU0-13144	b1128
TU0-8635	b1143
TU0-7421	b2388
TU00016	b3806
TU0-14749	b3093
TU0-14479	b3401 // b3400
TU0-13813	b2971
TU0-12811	b0108 // b0107 // b0106
TU0-42636	b4725 // b2570 // b2571 // b2572 // b2573
TU0-14696	b3643
TU0-12871	b0277
TU0-52570	b4825
TU0-4545	b0756 // b0757 // b0758 // b0759
TU0-14048	b3823
TU00397	b4241
TU0-13548	b2172
TU0-14153	b4182 // b4181
TU0-4501	b0162
TU0-45234	b4376
TU00187	b1620
TU0-14046	b3821
TU0-12818	b0135
TU0-13895	b3226
TU00043	b0675 // b0676 // b0677 // b0678
TU0-6361	b3150
TU0-8720	b1955
TU0-13485	b2007
TU00256	b2477 // b2478
TU00319	b1129 // b1130
TU00212	b0996 // b0997 // b0998
TU0-12789	b0007
TU0-8143	b2465 // b2464
TU0-13880	b3162
TU0-45171	b0972 // b0973 // b0974 // b0975 // b0976 // b0977
TU0-14763	b3162 // b4685
TU0-5581	b2963 // b2962
TU0-13756	b2843
TU00089	b2553
TU-8399	b1904
TU0-13943	b3468
TU00455	b3816
TU00268	b3891 // b3892 // b3893 // b3894
TU0-14460	b3067
TU0-14670	b4053
TU00049	b2215
TU0-7342	b2465
TU0-42526	b1798
TU00184	b3454 // b3455 // b3456 // b3457 // b3458
TU00316	b3951 // b3952
TU0-8331	b1659
TU0-14422	b4687
TU0-13809	b2960 // b2959
TU0-13034	b0747 // b0746
TU00255	b1189 // b1190
TU0-14819	b0755
TU0-8559	b0600
TU0-14551	b4471 // b3113 // b3114 // b3115 // b3116 // b3117
TU0-13464	b4496
TU0-14362	b2030
TU0-8150	b1051
TU00196	b1817 // b1818 // b1819
TU0-12975	b4509 // b0550 // b0549 // b0548 // b0547
TU0-45253	b1272
TU0-14120	b4053
TU00267	b0180
TU0-4881	b4476 // b3437 // b3438
TU0-6486	b0880
TU00261	b4360 // b4361 // b4362
TU0-13325	b1564 // b1563
TU00108	b3236
TU00463	b3363
TU0-14041	b3808
TU0-14402	b3806
TU0-14122	b4057 // b4056
TU00026	b0756 // b0757 // b0758 // b0759
TU0-12936	b0447
TU0-13874	b3145 // b3144 // b3143
TU0-42674	b3191 // b3192 // b3193 // b3194 // b3195
TU0-6629	b0933 // b0934 // b0935 // b0936 // b0937
TU0-13624	b2427
TU0-6621	b0441
TU0-13070	b4417
TU0-6983	b0990
TU0-7784	b1609 // b1608
TU0-45275	b3971 // b3970 // b3969 // b3968
TU0-8562	b0647
TU00265	b3005 // b3006
TU0-14771	b1823 // b1824
TU0-1548	b1194
TU0-13451	b1912
TU0-14179	b4273 // b4272
TU0-14034	b3775
TU-8396	b3150
TU00346	b4200 // b4201 // b4202 // b4203
TU0-13876	b3152
TU0-13647	b2504
TU0-14273	b1084
TU0-8754	b3001
TU0-13447	b4537
TU0-12806	b4662 // b0070 // b4577
TU0-2562	b3005
TU00524	b4764 // b0721 // b0722 // b0723 // b0724 // b0726 // b0727 // b0728 // b0729
TU0-7461	b1927
TU0-45172	b2911
TU0-42524	b1326 // b4525 // b4673 // b1327
TU0-42513	b3672
TU0-14469	b2754
TU00418	b0014 // b0015
TU0-1195	b3700 // b3701
TU0-14394	b0029 // b0028 // b0027 // b0026
TU0-13929	b3400 // b3399
TU0-13106	b0983 // b0982 // b0981
TU0-13039	b0753
TU0-8777	b1216
TU0-14632	b1784 // b1783
TU0-12816	b0129
TU525	b4669 // b4488 // b3772 // b3771 // b3770 // b3769 // b3766
TU0-14645	b2495 // b2494
TU0-13255	b4428
TU0-8515	b4442
TU461	b1190 // b1189
TU00436	b3067
TU0-12885	b0301 // b0303 // b0304
TU0-14021	b3706
TU0-8368	b1991 // b1992 // b1993
TU00197	b0336 // b0337
TU0-12873	b0280
TU0-13291	b1497
TU0-14674	b4143
TU0-14276	b0765 // b0764 // b0763
TU0-44221	b3668
TU0-12973	b0544
TU0-2504	b1274
TU0-8498	b4424
TU0-14130	b4487
TU00169	b2091 // b2092 // b2093 // b2094 // b2095 // b2096
TU4	b1387
TU0-7081	b2943
TU0-8181	b1723
TU0-8565	b0768
TU0-13947	b3475
TU0-14239	b2170
TU0-14245	b4518
TU0-45223	b1274
TU0-45242	b3508 // b3509 // b3510
TU0-8794	b1187
TU0-13620	b2411 // b4546
TU0-14399	b0031
TU0-1603	b0621
TU0-13460	b1956
TU00329	b3619 // b3620 // b3621 // b3622
TU00300	b0781 // b0782 // b0783 // b0784 // b0785
TU0-12910	b0373 // b0372
TU0-14386	b3249 // b3250 // b3251
TU00205	b2507 // b2508
TU0-6553	b4024
TU0-13702	b2649
TU00302	b0826 // b0827
TU0-12905	b4579
TU0-3305	b1716 // b1717 // b1718
TU0-14610	b0252
TU0-8537	b2346
TU0-14425	b4762
TU0-45255	b0126
TU0-13850	b3075
TU0-14269	b2782 // b2783 // b2784
TU0-14687	b1650 // b1649
TU0-7802	b1641
TU0-8327	b3070
TU602	b1089 // b1088
TU0-14011	b3663
TU0-4525	b2698 // b2699
TU0-8827	b1529
TU0-1921	b2663 // b2662 // b2661
TU0-8814	b1759
TU00245	b4112 // b4113
TU0-13815	b4466
TU0-42472	b2584
TU0-7541	b2370 // b2369
TU0-13357	b1647
TU0-14614	b0436
TU0-8560	b0643
TU0-5881	b3835 // b3834 // b3833
TU0-13473	b4497
TU0-8690	b1219
TU0-14154	b4186 // b4185 // b4184 // b4183
TU0-5903	b4836 // b3870
TU0-6481	b0474
TU00126	b2232
TU0-45182	b3212 // b3213 // b3214
TU0-7601	b0505
TU0-13350	b1623
TU00098	b4460 // b1900 // b1901
TU0-13830	b3019
TU0-8837	b0537
TU0-2021	b4030
TU0-42596	b3610 // b3611 // b3608 // b3609
TU00309	b2741 // b2742
TU0-14463	b0676
TU0-12860	b0253 // b0252
TU00508	b0883
TU0-13340	b1595
TU00018	b4381 // b4382 // b4383 // b4384
TU0-14376	b3322 // b3323
TU0-7141	b1480 // b1481
TU0-14306	b2806
TU0-2422	b4702 // b4242
TU0-13559	b2210
TU0-7861	b1519 // b1518 // b1517 // b1516 // b1515 // b1514 // b1513
TU0-4202	b1210
TU00382	b0903
TU0-13085	b0906
TU0-13541	b2157
TU0-41681	b1129
TU0-13629	b2443
TU0-13699	b2646 // b2645 // b4548 // b2644 // b2643
TU00369	b4039 // b4040
TU00298	b2260 // b2261 // b2262 // b2263 // b2264 // b2265
TU121	b1015
TU0-42534	b1651 // b1650 // b1649
TU0-7043	b3813
TU0-13577	b2274
TU0-8779	b1558
TU0-13249	b1407
TU0-6401	b0048
TU0-4928	b3415
TU0-42492	b3547
TU0-13493	b2017 // b4539
TU00148	b2365 // b2366
TU0-12847	b0223
TU0-14275	b2737
TU864	b1020
TU0-198687	b4840
TU0-13612	b2379
TU0-8341	b3422
TU0-8345	b2731 // b2730 // b2729 // b2728 // b2727
TU0-13946	b3474
TU0-8715	b1828
TU00272	b1070 // b1071 // b1072
TU0-13744	b2821 // b2820 // b2819
TU0-1191	b3272 // b3273 // b3274 // b3275 // b3276 // b3277 // b3278
TU0-12812	b0109
TU0-7662	b3441
TU0-14123	b4064
TU0-12951	b0475
TU00325	b0242 // b0243
TU0-13532	b2139
TU0-14094	b3955
TU0-45160	b3162 // b4685
TU0-14162	b4214
TU0-13307	b4599
TU0-44211	b2406
TU00480	b2415 // b2416 // b2417
TU0-13036	b0749
TU0-42589	b2784
TU0-8620	b4257
TU0-14801	b4110 // b4109
TU0-5041	b4324
TU0-6861	b0078 // b0077
TU0-198700	b1523 // b1524 // b1525
TU00010	b1704
TU00093	b3161
TU0-13400	b1782
TU0-13863	b3100 // b3099 // b3098 // b3097
TU0-8542	b4503
TU0-12938	b0455
TU00203	b1207
TU0-13510	b2101
TU345	b4401
TU0-12872	b0279 // b0278
TU684	b1872 // b1873
TU0-8534	b0480
TU0-6223	b3164 // b3165 // b3166 // b3167 // b3168 // b3169 // b3170 // b3171
TU0-8825	b1663
TU0-45189	b2779
TU0-13807	b2955 // b2954 // b2953 // b2952 // b2951
TU0-14324	b4001
TU0-13674	b2587
TU0-14244	b4595
TU0-13826	b3014
TU142	b0044 // b0043 // b0042 // b0041
TU0-13561	b2214
TU0-14351	b1649
TU0-14169	b4243
TU0-13600	b2349
TU0-14159	b4208
TU0-13042	b0769
TU0-45169	b4741 // b1276
TU352	b4401
TU0-13014	b0651
TU00287	b3931 // b3932
TU0-14691	b2245 // b2246 // b2247 // b2248
TU00476	b2215
TU0-13089	b0919
TU0-8756	b3059
TU67	b3564 // b3565
TU0-13871	b3121 // b3120
TU0-4444	b0688 // b0687
TU0-13133	b1085
TU0-13356	b1646
TU0-13755	b2842
TU0-14718	b3515
TU0-13058	b0813
TU0-42602	b0185
TU0-13162	b1167
TU00473	b2553
TU0-13923	b3369
TU0-8518	b4456
TU0-8780	b0989
TU0-13462	b1958
TU0-8735	b2410
TU00225	b3616 // b3617
TU0-14730	b0779
TU0-2501	b1274
TU0-13852	b3080 // b3079
TU0-42515	b3723
TU00423	b2524 // b2525 // b2526 // b2527
TU0-13223	b1342
TU0-36412	b0142 // b0143
TU183	b4313
TU0-13530	b2135
TU0-13525	b2124
TU00017	b4381 // b4382 // b4383 // b4384
TU0-45237	b3724 // b3725
TU0-45211	b2429 // b2428
TU00175	b0912
TU0-13841	b3042
TU0-13480	b1997 // b1996
TU0-198711	b0583 // b0584
TU0-3841	b0058 // b0059
TU0-14189	b4576
TU0-8517	b4450
TU0-6843	b4310 // b4311
TU0-5062	b4012
TU0-42642	b2570 // b2571 // b2572 // b2573
TU0-8328	b2086
TU356	b0553
TU0-1181	b3855 // b3854 // b3853 // b3852 // b3851
TU0-13010	b0642 // b0641 // b0640 // b0639 // b0638
TU0-5001	b3686
TU0-1421	b1528
TU0-12822	b0159 // b0158 // b0157
TU00194	b2574
TU0-8335	b2558
TU0-6505	b3867
TU0-1681	b1656
TU0-3	b3911 // b3912
TU0-14381	b1562 // b1563 // b1564
TU0-14621	b1060
TU0-13823	b3012 // b3011
TU0-42698	b2804
TU0-42452	b2502 // b2501
TU0-6649	b0809 // b0810 // b0811
TU344	b4401
TU0-5569	b2962
TU0-13274	b1454
TU00522	b0113 // b0114 // b0115 // b0116
TU0-13998	b3614 // b3613 // b3612
TU-8419	b3713 // b3712
TU0-12919	b0410
TU0-13568	b2250
TU0-36402	b4367
TU0-5021	b3091 // b3092
TU0-14073	b3895
TU0-14339	b4809 // b0175 // b0174
TU0-42475	b0076
TU0-14220	b4379
TU0-13553	b2181
TU0-1	b1093 // b1092 // b1091 // b1090 // b1089
TU0-14818	b2925 // b2926
TU0-42460	b4416 // b4705
TU00389	b1283
TU00221	b4129
TU0-13029	b0705
TU0-13229	b1355 // b4527
TU0-13817	b2985 // b2984
TU00022	b1334
TU0-13233	b1363
TU0-7181	b4616
TU0-13977	b3548
TU0-13126	b1057 // b1056
TU0-13062	b0824 // b0823
TU0-8670	b0876
TU0-2447	b1826
TU0-45216	b3724 // b3725 // b3726 // b3727 // b3728
TU0-13158	b1162
TU368	b3574
TU0-14072	b3890
TU00499	b1989
TU0-13733	b2776 // b2775
TU0-13562	b2220 // b2219
TU0-13761	b2850
TU0-14472	b1282 // b1281 // b1280 // b1279
TU0-8788	b1954
TU0-14053	b4483
TU0-3161	b0734 // b0733
TU0-14424	b4624
TU0-14229	b3807
TU00115	b0311 // b0312 // b0313
TU00037	b4043 // b4044
TU0-8516	b4449
TU00349	b3294 // b3295 // b3296 // b3297 // b3298
TU0-14633	b1854
TU0-14225	b4390 // b4389
TU0-13603	b2358 // b2357 // b2356 // b2355 // b2354
TU0-13575	b2271
TU00160	b4139
TU0-13332	b4534
TU0-8584	b3467
TU0-14525	b3623 // b3624
TU0-4189	b2958
TU0-8765	b3665
TU00201	b4092 // b4093 // b4094 // b4095 // b4096 // b4097 // b4098 // b4099 // b4100 // b4101 // b4102 // b4583 // b4105 // b4106
TU00424	b2727 // b2728 // b2729 // b2730
TU0-42451	b4460 // b1900 // b1901
TU0-13655	b2522
TU00448	b2276 // b2277 // b2278 // b2279 // b2280 // b2281 // b2282 // b2283 // b2284 // b2285 // b2286 // b2287 // b2288
TU0-13888	b3190
TU0-13570	b2259
TU0-13799	b2923
TU0-13131	b1065
TU00471	b1920 // b1921 // b1922
TU0-13514	b2107 // b2106
TU0-8580	b3434
TU0-8739	b2493
TU0-8365	b3530 // b3531 // b3532 // b3533
TU0-6625	b2937
